NOTE  |Author: Ahsan - ver. 1.2 'ProMac'
NOTE  |Attack: Mass Miner
NOTE  |Make Troops: all miner
NOTE  |Make Spells: 2-3 rage (optional), 1 freeze (optional)


      |-----------------------------------------------------------------------------------------------|
      |                                                                                               |
      |                                                                                               |

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |0          |10         |EAGLE      |


      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-LEFT |10         |1          |INT-EXT    |0          |2          |           |vector for miner left
MAKE  |B          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |2          |           |vector for miner right
MAKE  |C          |FRONT-LEFT |10         |-8         |INT-EXT    |0          |1          |           |vector for rage and heal
MAKE  |D          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |1          |           |vector for rage
MAKE  |E          |FRONT-LEFT |10         |-15        |INT-EXT    |0          |1          |           |vector for freeze
MAKE  |F          |FRONT-LEFT |10         |-13        |INT-EXT    |0          |1          |           |vector for heal
MAKE  |X          |FRONT-LEFT |10         |-20        |INT-EXT    |0          |1          |           |vector for heal
MAKE  |G          |FRONT-LEFT |10         |1          |INT-EXT    |0          |2          |           |vector for remaining troops
MAKE  |H          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |2          |           |vector for remaining troops
MAKE  |G          |LEFT-FRONT |1          |1          |IGNORE     |0          |0          |INFERNO    |           |
MAKE  |L          |RIGHT-FRONT|1          |1          |IGNORE     |0          |0          |INFERNO    |           |
MAKE  |U          |FRONT-RIGHT|1          |1          |IGNORE     |0          |0          |INFERNO    |           |
MAKE  |Z          |FRONT-LEFT |1          |1          |IGNORE     |0          |0          |EAGLE      |           |


      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|           |
DROP  |A-B        |1-7        |20         |mine       |10-30      |0          |1500       |           |drop miner
DROP  |A          |1          |1          |king       |0          |0          |100-300    |           |launch king  
DROP  |B          |1          |1          |queen      |0          |0          |100-300    |           |launch queen
DROP  |A          |10         |1          |Castle     |0          |50-70      |150-170    |           |           |
DROP  |A          |10         |1          |BattleB    |0          |0          |150-170    |           |           |
DROP  |A          |10         |1          |WallW      |0          |50-70      |150-170    |           |           |
DROP  |A          |10         |1          |StoneS      |0          |50-70      |150-170    |           |           |
DROP  |A          |1          |1          |warden     |0          |0          |500        |           |launch warden
DROP  |A-B        |3-8        |20         |mine       |10-30      |0          |1500       |           |drop miner
DROP  |A-B        |3-8        |20         |hogs       |10-30      |0          |1500       |           |drop miner
DROP  |A          |1          |1          |warden     |0          |0          |500        |           |launch warden
DROP  |F          |2          |1          |HSpell    |0          |0          |150-170    |           |           |
DROP  |H          |2          |1          |HSpell    |0          |0          |500-550    |           |           |
WAIT  |3000-4000  |           |           |           |           |           |           |           |
DROP  |U          |1          |1          |Hspell     |0          |0          |190-230    |           |           |
DROP  |Z          |1          |1          |Hspell     |0          |0          |200-250    |           |           |
WAIT  |4000-4200  |           |           |           |           |           |           |           |           |
DROP  |G          |1          |1          |FSpell     |0          |0          |100-150    |           |           |
DROP  |G          |1          |1          |RSpell     |0          |0          |100-1500    |           |           |
DROP  |L          |1          |1          |RSpell     |0          |0          |100-150    |           |           |
DROP  |L          |1          |1          |FSpell     |0          |0          |100-1500   |           |           |
WAIT  |9000-12000  |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |warden     |0          |0          |500        |           |Force act warden

RECALC|           |           |           |           |           |           |           |           |Recalculate remaining troops and then launch...
DROP  |G-H        |1-8        |20         |mine       |0          |0          |100-300    |           |
DROP  |G-H        |1-8        |20         |giant      |0          |0          |100-300    |           |
DROP  |G-H        |1-8        |20         |heal       |0          |0          |100-300    |           |
DROP  |x          |1          |1          |HSpell    |0          |0          |0          |           |drop freeze spell

DROP  |A-B        |2,4,6,8,10 |5          |REMAIN     |50-70      |100        |50-100     |           |           |
